Unnamed: 0,ADRIANO,AFFORI,ASSIANO,BAGGIO,BANDE NERE
2013-11-01 00:00:00,1852.0538405677457,6942.277471771405,2207.044124772511,5185.091487855457,13723.726690316704
2013-11-01 00:10:00,1797.1292929748042,6547.250332076029,2167.787095317154,4938.114481771179,13269.426935153771
2013-11-01 00:20:00,1767.7728882861065,6124.699914005899,2077.207157342331,5135.372618442415,13416.140735853403
2013-11-01 00:30:00,5777.708332696473,6473.210670047795,2290.1798023086712,5625.821982002021,11999.072168848144
2013-11-01 00:40:00,5407.436749836332,5662.161956563977,1900.7230500742312,4858.542981799631,11824.070907294588
2013-11-01 00:50:00,5458.391068959209,5640.260247236793,1977.208100403118,5076.947038622547,11201.365980420238
2013-11-01 01:00:00,5416.15612107303,5382.29039364995,1765.4708272962894,4761.738467739623,10849.723484429476
2013-11-01 01:10:00,1568.262561127306,5770.5157606494,1760.6304298226237,4964.236397169133,10136.747663731934
2013-11-01 01:20:00,1485.9853445828603,5866.4151434658925,1815.1389916168123,4548.663817785899,9607.115968024676
2013-11-01 01:30:00,5231.011334796025,5787.147175765515,1716.581294924379,4993.133631310775,9977.896186880638
2013-11-01 01:40:00,4696.873593586789,4864.914012072405,1794.3114357858449,4590.622040691609,10116.130808143063
2013-11-01 01:50:00,4330.169225840673,4582.234486194508,1767.2215053535526,5180.871404224396,9950.494966381631
2013-11-01 02:00:00,4434.947275001194,4336.798847429777,1816.968100664656,4766.320249672557,9190.109653106589
2013-11-01 02:10:00,4069.7177295143,4272.509872488557,1530.429273279942,4458.929566325616,9233.714725499956
2013-11-01 02:20:00,4323.551928296472,4032.650649352959,1517.0007365162965,4858.3593230237175,9168.74712676044
2013-11-01 02:30:00,4049.5890750608833,3904.068551794255,1470.7094304329162,4520.306533039134,8780.178325942672
2013-11-01 02:40:00,3889.100215737206,3860.235351499002,1427.1596783309792,3786.832300778116,8746.319982212177
2013-11-01 02:50:00,3714.316758872229,3746.332774071812,1475.540017553197,3634.9368251530905,8624.492596479298
2013-11-01 03:00:00,3701.841132467798,3651.088226701556,1509.081217052125,3633.355582111822,8217.456858956699
2013-11-01 03:10:00,3631.701708917704,3901.148798918694,1369.9605784406922,3507.6710781365896,8060.856931600511
2013-11-01 03:20:00,3599.990516432232,3557.8537958853985,1433.0365714364527,3426.3528150134466,7917.9962153910365
2013-11-01 03:30:00,3548.507737072166,3582.658946869665,1398.392670823823,3495.1766289224106,7842.935869323418
2013-11-01 03:40:00,3321.452056096403,3481.368765270916,1400.3629870175223,3442.9386561827328,8020.434738373844
2013-11-01 03:50:00,3377.6268755902984,3402.1773724557497,1576.809345188805,3189.419661546052,7905.668471208741
2013-11-01 04:00:00,3494.243537432877,3325.868575533855,1355.339803212178,3186.5199901567667,7685.228753909967
2013-11-01 04:10:00,3393.9643781203813,3695.831746001648,1394.1180637967263,3301.4915676247965,7648.4871326804
2013-11-01 04:20:00,3268.8860186858506,3608.631193805749,1418.2234825211078,3153.136689824918,7511.370963828817
2013-11-01 04:30:00,3304.932060251291,3410.90354714491,1341.795809220339,3132.9744407807257,7411.407121651572
2013-11-01 04:40:00,3361.8858118673147,3258.1253376904974,1290.6830904314722,3187.2775073502494,7891.376522546157
2013-11-01 04:50:00,3303.9151553009965,3270.2655587984427,1336.4572652224442,3000.1483835597087,7515.543093318772
2013-11-01 05:00:00,3445.045185009342,3131.12578082792,1282.8598493252596,3208.4452257605776,7989.090249915929
2013-11-01 05:10:00,3220.4502025719744,3281.9983397279816,1243.053002574055,3187.062173193613,7678.143960743671
2013-11-01 05:20:00,3178.47817356349,3183.244210721709,1361.699793942234,2966.338721959164,7518.848377810687
2013-11-01 05:30:00,3381.076443776116,3193.117370940842,1338.60049009359,3211.500447561144,7288.381278195256
2013-11-01 05:40:00,3217.0181549194176,3667.815711932898,1357.9202993529495,3025.247561244365,7463.142713610176
2013-11-01 05:50:00,3073.629562194287,2891.259341261834,1402.7199099452944,3122.4441731750435,7555.525533089807
2013-11-01 06:00:00,3326.273491519231,3289.063545994072,1312.0384015070665,3088.756519928467,7563.796405514875
2013-11-01 06:10:00,3118.262779351247,3295.786144666479,1361.9259255795992,3115.7857731460194,7752.509473595084
2013-11-01 06:20:00,3188.592894515007,3196.371015175296,1331.727408598757,3059.6317815045845,7493.67530086341
2013-11-01 06:30:00,3493.1024056307883,3243.126710981512,1383.446973407714,3103.150605923652,7265.179873790376
2013-11-01 06:40:00,3234.267446921196,3153.1043718930505,1368.0573517323542,3315.637536770516,7645.335073111618
2013-11-01 06:50:00,3171.4304384739744,3179.795058922056,1388.6353293519444,3144.3759493898256,8075.12378105563
2013-11-01 07:00:00,3468.741482010212,3543.0025613682888,1512.0013936902951,3300.127944564785,7991.941896113622
2013-11-01 07:10:00,3606.869415959999,3834.966528932685,1582.383078770628,3530.8176171854707,8868.834272546817
2013-11-01 07:20:00,3624.0704079873535,3627.1439040553296,1778.649602420417,3493.904138551969,8650.549931978221
2013-11-01 07:30:00,4226.5077560243735,3963.321512851942,1713.246840268961,3483.372587483076,9613.705928380929
